Link,Direction,Sublink,NearLatitude_DecDeg,NearLongitude_DecDeg,FarLatitude_DecDeg,FarLongitude_DecDeg,Frequency_GHz,Polarization,Length_km,NearAntennaDiameter_m,FarAntennaDiameter_m
10093,B,450,57.69003,11.96478,57.68495,11.97409,37.268,Vertical,0.79311,0.3,0.3
10094,A,470,57.71274,11.89114,57.72355,11.8898,28.2625,Vertical,1.20582,0.3,0.3
10094,B,469,57.72355,11.8898,57.71274,11.89114,29.2705,Vertical,1.20582,0.3,0.3
10095,A,663,57.719,11.94959,57.71991,11.94726,37.24,Vertical,0.17193,0.3,0.3
10095,B,664,57.71991,11.94726,57.719,11.94959,38.5,Vertical,0.17193,0.3,0.3
10096,A,638,57.719,11.94959,57.7116,11.94496,37.156,Vertical,0.86864,0.3,0.3
10096,B,637,57.7116,11.94496,57.719,11.94959,38.416,Vertical,0.86864,0.3,0.3
10097,A,407,57.69996,11.95434,57.70321,11.95678,37.296,Vertical,0.38969,0.2,0.3
10097,B,408,57.70321,11.95678,57.69996,11.95434,38.556,Vertical,0.38969,0.3,0.2
10098,A,203,57.72567,12.04335,57.70923,12.00797,32.445,Vertical,2.792,0.3,0.3
10098,B,201,57.70923,12.00797,57.72567,12.04335,33.257,Vertical,2.792,0.3,0.3
10099,A,335,57.7226,12.03275,57.71882,12.03279,38.584,Vertical,0.42117,0.3,0.3
10099,B,336,57.71882,12.03279,57.7226,12.03275,37.324,Vertical,0.42117,0.3,0.3
10100,A,352,57.75483,11.97348,57.75216,11.9591,28.2345,Vertical,0.90635,0.3,0.3
10100,B,351,57.75216,11.9591,57.75483,11.97348,29.2425,Vertical,0.90635,0.3,0.3
10101,A,112,57.6807,11.98694,57.6781,11.98416,28.1785,Vertical,0.3336,0.3,0.3
10101,B,111,57.6781,11.98416,57.6807,11.98694,29.1865,Vertical,0.3336,0.3,0.3
10102,A,589,57.70848,11.96788,57.70321,11.95678,37.24,Vertical,0.88426,0.3,0.3
10102,B,590,57.70321,11.95678,57.70848,11.96788,38.5,Vertical,0.88426,0.3,0.3
10103,A,562,57.71689,11.92739,57.72355,11.8898,37.324,Vertical,2.35974,0.3,0.3
10103,B,561,57.72355,11.8898,57.71689,11.92739,38.584,Vertical,2.35974,0.3,0.3
10104,A,566,57.72062,12.05927,57.71552,12.05015,38.472,Vertical,0.78616,0.3,0.3
10104,B,565,57.71552,12.05015,57.72062,12.05927,37.212,Vertical,0.78616,0.3,0.3
10105,A,295,57.76647,12.06122,57.75606,12.06644,37.324,Vertical,1.19926,0.3,0.3
10105,B,296,57.75606,12.06644,57.76647,12.06122,38.584,Vertical,1.19926,0.3,0.3
10106,A,287,57.70898,11.92881,57.70321,11.95678,28.2065,Vertical,1.78711,0.3,0.3
10106,B,288,57.70321,11.95678,57.70898,11.92881,29.2145,Vertical,1.78711,0.3,0.3
10107,A,312,57.71124,11.99335,57.71181,11.98477,28.2065,Vertical,0.51516,0.3,0.3
